year,name,rating,category,engine,detail_url
2023,Access Mini S 110,-,ATV,107 ccm,https://bikez.com/motorcycles/access_mini_s_110_2023.php
2023,Access Mini X 110,-,ATV,107 ccm,https://bikez.com/motorcycles/access_mini_x_110_2023.php
2023,Access Shade Xtreme 650,-,ATV,608 ccm,https://bikez.com/motorcycles/access_shade_xtreme_650_2023.php
2023,Access Shade Xtreme 850 Lux,-,ATV,781 ccm,https://bikez.com/motorcycles/access_shade_xtreme_850_lux_2023.php
2023,Access Xtreme X 300,-,ATV,280 ccm,https://bikez.com/motorcycles/access_xtreme_x_300_2023.php
2023,Access Xtreme X 480,-,ATV,449 ccm,https://bikez.com/motorcycles/access_xtreme_x_480_2023.php
2023,Aeon AI-2 Gather,Show rating,Scooter,Electric,https://bikez.com/motorcycles/aeon_ai-2_gather_2023.php
2023,Aeon Cobra 400 SX,-,ATV,346 ccm,https://bikez.com/motorcycles/aeon_cobra_400_sx_2023.php
2023,Aeon STR,-,Scooter,278 ccm,https://bikez.com/motorcycles/aeon_str_2023.php
2023,AJP PR7 650 Adventure,Show rating,Enduro/offroad,600 ccm,https://bikez.com/motorcycles/ajp_pr7_650_adventure_2023.php
2023,AJP SPR 125 Enduro,-,Enduro/offroad,124 ccm,https://bikez.com/motorcycles/ajp_spr_125_enduro_2023.php
2023,AJP SPR 125 Supermoto,-,Super motard,124 ccm,https://bikez.com/motorcycles/ajp_spr_125_supermoto_2023.php
2023,AJP SPR 240 Enduro,-,Enduro/offroad,233 ccm,https://bikez.com/motorcycles/ajp_spr_240_enduro_2023.php
2023,AJP SPR 240 Supermoto,-,Super motard,233 ccm,https://bikez.com/motorcycles/ajp_spr_240_supermoto_2023.php
2023,AJP SPR 240X Enduro,-,Enduro/offroad,233 ccm,https://bikez.com/motorcycles/ajp_spr_240x_enduro_2023.php
2023,AJP SPR 250 Enduro,Show rating,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/ajp_spr_250_enduro_2023.php
2023,AJP SPR 250 Supermoto,-,Super motard,249 ccm,https://bikez.com/motorcycles/ajp_spr_250_supermoto_2023.php
