tweet_id,created_at,date,hour,weekday,author_id,author_type,tweet_text_raw,sentiment_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
2247048,2017-11-25 15:43:00+00:00,2017-11-25,15,Saturday,AppleSupport,Support,@654845 Let us know what type of iPad you have and its iOS version via DM and we'll continue from there: https://t.co/GDrqU22YpT,@user Let us know what type of iPad you have and its iOS version via DM and we'll continue from there: http,0.00524351,0.85345906,0.14129747,0.13605397,Neutral
2818243,2017-11-27 04:47:48+00:00,2017-11-27,4,Monday,AmericanAir,Support,@460411 We're here if you need us and truly apologize for this experience.,@user We're here if you need us and truly apologize for this experience.,0.41009843,0.48492214,0.10497948,-0.30511896,Neutral
1661991,2017-11-06 08:50:22+00:00,2017-11-06,8,Monday,506857,Customer,@Morrisons Could you please tell me if the Christmas bonus is happening this year?,@user Could you please tell me if the Christmas bonus is happening this year?,0.00988092,0.88379848,0.10632058,0.09643966,Neutral
973146,2017-10-22 09:02:00+00:00,2017-10-22,9,Sunday,AmazonHelp,Support,"@350798 Hi, here is a link that you can take a look at that will help with dealing with these emails. https://t.co/B2AT69xsOm ^CR","@user Hi, here is a link that you can take a look at that will help with dealing with these emails. http ^CR",0.01639082,0.70885462,0.27475464,0.25836382,Neutral
1889052,2017-10-22 13:35:43+00:00,2017-10-22,13,Sunday,AldiUK,Support,"@563343 We're sorry to hear this, Bel. If you still have your receipt, you can return the packaging to store and we'll provide a full refund.","@user We're sorry to hear this, Bel. If you still have your receipt, you can return the packaging to store and we'll provide a full refund.",0.35778561,0.60775769,0.03445668,-0.32332893,Neutral
2828241,2017-11-27 12:18:41+00:00,2017-11-27,12,Monday,787699,Customer,@LondonMidland Is ‘short formed’ the new way we say ‘tiny’ ?,@user Is ‘short formed’ the new way we say ‘tiny’ ?,0.05160220,0.91247839,0.03591941,-0.01568279,Neutral
1301516,2017-10-27 00:02:50+00:00,2017-10-27,0,Friday,AmericanAir,Support,@424174 Your safety is always our top priority. The current estimated time of departure is 9:08p. We appreciate your patience.,@user Your safety is always our top priority. The current estimated time of departure is 9:08p. We appreciate your patience.,0.00671836,0.17938939,0.81389230,0.80717395,Positive
1973476,2017-11-01 12:24:54+00:00,2017-11-01,12,Wednesday,DropboxSupport,Support,"@199336 Hi again, Smart Sync is available to Dropbox Professional users and is in Early Access for Dropbox Business. On iOS devices, there... 1/2","@user Hi again, Smart Sync is available to Dropbox Professional users and is in Early Access for Dropbox Business. On iOS devices, there... 1/2",0.00332623,0.58489138,0.41178247,0.40845624,Neutral
1544951,2017-11-04 08:06:47+00:00,2017-11-04,8,Saturday,478513,Customer,@AppleSupport thank you!! is this just like a weird bug with the latest iOS update?,@user thank you!! is this just like a weird bug with the latest iOS update?,0.10775939,0.78729337,0.10494717,-0.00281221,Neutral
1146473,2017-10-24 13:55:51+00:00,2017-10-24,13,Tuesday,sainsburys,Support,"@345876 .. from the link please: https://t.co/e5RuL1lGqx. Thanks, Karen 2/2","@user .. from the link please: http Thanks, Karen 2/2",0.00686320,0.64498353,0.34815326,0.34129006,Neutral
549320,2017-12-02 18:22:14+00:00,2017-12-02,18,Saturday,247919,Customer,"@115830 Bought a Sony Bravia 43"" on Cyber Monday and it arrived with a broken bezel clip. I requested a replacement and I have to pay shipping for something that arrived broken?! https://t.co/a66tw7RxTH","@user Bought a Sony Bravia 43"" on Cyber Monday and it arrived with a broken bezel clip. I requested a replacement and I have to pay shipping for something that arrived broken?! http",0.89323324,0.09953868,0.00722805,-0.88600519,Negative
1308477,2017-10-26 10:32:00+00:00,2017-10-26,10,Thursday,119274,Customer,"@hulu_support Is there anOption to BlOCKHollywoodOaks,TheYoung Turks&amp;Other Nonsense that AUTOMATICALLY streams? OnlyWatchlist should stream😟","@user Is there anOption to BlOCKHollywoodOaks,TheYoung Turks&amp;Other Nonsense that AUTOMATICALLY streams? OnlyWatchlist should stream😟",0.81291521,0.17745315,0.00963157,-0.80328363,Negative
